id,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,angle
193,3,2,1,230.0298,0.0,-19.999535899143666,0.0007465993939775594,0,-13.817716631107032,0.00037018075227756707,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,2,230.063245,0.033445,-19.999535899143666,0.000771660573659122,0,-13.817716631107032,0.000382606648176115,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,3,230.09668299999998,0.033438,-19.999535899143666,0.0008463697336680483,0,-13.817716631107032,0.0004196491280886566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,4,230.13012899999998,0.033446,-19.999535899143666,0.0008962608702820145,0,-13.817716631107032,0.0004443862744521801,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,5,230.163575,0.033446,-19.999535899143666,0.0009461520206657641,0,-13.817716631107032,0.0004691234276430717,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,6,230.197021,0.033446,-19.999535899143666,0.000996334023484873,0,-13.817716631107032,0.0004940047920055656,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,7,230.230462,0.033441,-19.999535899143666,0.0010708149598211308,0,-13.817716631107032,0.0005309341134940346,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,8,230.263894,0.033432,-19.999535899143666,0.0011210783089745811,0,-13.817716631107032,0.0005558558111965826,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,9,230.297327,0.033433,-19.999535899143666,0.0011958881280954691,0,-13.817716631107032,0.0005929482001581941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,10,230.330779,0.033452,-19.999535899143666,0.0012702318287513214,0,-13.817716631107032,0.0006298094771132473,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,11,230.36423399999998,0.033455,-19.999535899143666,0.001320136424885055,0,-13.817716631107032,0.0006545532970090466,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,12,230.39766,0.033426,-19.999535899143666,0.0013687655556255255,0,-13.817716631107032,0.0006786647125088729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,13,230.43111199999998,0.033452,-19.999535899143666,0.0013687655556255255,0,-13.817716631107032,0.0006786647125088729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,14,230.464561,0.033449,-19.999535899143666,0.0013687655556255255,0,-13.817716631107032,0.0006786647125088729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,15,230.497983,0.033422,-19.999535899143666,0.0013687655556255255,0,-13.817716631107032,0.0006786647125088729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,16,230.53142599999998,0.033443,-19.999535899143666,0.001369605378322199,0,-13.817716631107032,0.000679081115468937,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,17,230.564875,0.033449,-19.999535899143666,0.0013954542202494857,0,-13.817716631107032,0.0006918975520041569,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,18,230.598323,0.033448,-19.999535899143666,0.0014463119193893273,0,-13.817716631107032,0.000717113941782339,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,19,230.631768,0.033445,-19.999535899143666,0.0015201260693216885,0,-13.817716631107032,0.000753712655592053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,20,230.665176,0.033408,-19.999535899143666,0.0015710115132610172,0,-13.817716631107032,0.0007789428018651224,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,21,230.698581,0.033405,-19.999535899143666,0.0016446786370255852,0,-13.817716631107032,0.0008154686167978252,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,22,230.731988,0.033407,-19.999535899143666,0.0016945115976445958,0,-13.817716631107032,0.0008401769181960956,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,23,230.76540699999998,0.033419,-19.999535899143666,0.001744362527418414,0,-13.817716631107032,0.0008648941291050064,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,24,230.798846,0.033439,-19.999535899143666,0.0017942446450306228,0,-13.817716631107032,0.000889626803644842,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,25,230.832287,0.033441,-19.999535899143666,0.0018441283231837135,0,-13.817716631107032,0.0009143602519359053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,26,230.86574,0.033453,-19.999535899143666,0.0018927075561590743,0,-13.817716631107032,0.0009384469270028111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,27,230.899195,0.033455,-19.999535899143666,0.0019162717778757358,0,-13.817716631107032,0.0009501305975124222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,28,230.93265399999999,0.033459,-19.999535899143666,0.0019162717778757358,0,-13.817716631107032,0.0009501305975124222,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,29,230.96607699999998,0.033423,-19.999535899143666,0.0019147725823055115,0,-13.817716631107032,0.0009493872626684972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3,2,30,230.99953399999998,0.033457,-19.999535899143666,0.001891385131409817,0,-13.817716631107032,0.0009377912391031699,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
