id,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,angle
157,3,1,1,156.6565,0.0,24.29046410205774,-7.262200318259222,0,23.462283367291093,-2.6435660300769652,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,2,156.68991599999998,0.033416,24.050111646541147,-7.272363245356862,0,23.372165882576553,-2.6085654398425735,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,3,156.723365,0.033449,23.80947509991969,-7.282421374576349,0,23.291927327898293,-2.573507832790831,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,4,156.75677,0.033405,23.55924133602017,-7.292628409176511,0,23.201875780105034,-2.537764659505504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,5,156.79018,0.03341,23.3188681648231,-7.302515957170761,0,23.121772667931094,-2.502745658700903,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,6,156.823631,0.033451,23.06832066579722,-7.312083129462315,0,23.041479580124268,-2.46839435743824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,7,156.857095,0.033464,22.827622971169845,-7.321808223741842,0,22.951336324958977,-2.433311854432818,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,8,156.89052999999998,0.033435,22.58699500123892,-7.3309911131692775,0,22.871173256267326,-2.399699342444953,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,9,156.923971,0.033441,22.33659440980008,-7.340354197031631,0,22.791154707352483,-2.3653789492372685,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,10,156.95738599999999,0.033415,22.09607353622126,-7.349195522058379,0,22.720878388858306,-2.332532814934566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,11,156.990829,0.033443,21.84570236746019,-7.3579725052084095,0,22.640696123478012,-2.2996666905534817,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,12,157.024281,0.033452,21.604859761913318,-7.366456094258482,0,22.56071415550263,-2.26752343688665,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,13,157.057713,0.033432,21.354372753322274,-7.374604389086014,0,22.490334137204975,-2.2361012078355373,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,14,157.091162,0.033449,21.104026409465064,-7.382751330983606,0,22.410405708557374,-2.2046944991338955,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,15,157.124609,0.033447,20.863151487526956,-7.390707356017262,0,22.340235837944697,-2.1740499603872645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,16,157.15802,0.033411,20.61282182055739,-7.3985072925989765,0,22.27014352997203,-2.144184880575038,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,17,157.191452,0.033432,20.362659748662455,-7.406398194587435,0,22.20000709914985,-2.1143584649231113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,18,157.22489199999998,0.03344,20.121780371351942,-7.414147667564997,0,22.129851922997325,-2.0852923037547892,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,19,157.258335,0.033443,19.871210947577502,-7.421717930808653,0,22.05969248466541,-2.056951139218931,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,20,157.29174,0.033405,19.6213074749463,-7.429272334398506,0,21.989994211907852,-2.0286727743668767,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,21,157.325144,0.033404,19.380641522458276,-7.436662745569684,0,21.92953304756482,-2.0011196046903477,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,22,157.358557,0.033413,19.130296869769094,-7.4441310627751625,0,21.859436542982365,-1.973612573967762,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,23,157.391956,0.033399,18.880056799923338,-7.451441094562696,0,21.78978561607239,-1.9468396110651829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,24,157.425353,0.033397,18.629824846730244,-7.45875896893729,0,21.729729946748083,-1.9200673400443307,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,25,157.458753,0.0334,18.379577596027442,-7.465997583022353,0,21.6692351468757,-1.8933047637972982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,26,157.492163,0.03341,18.129255085927536,-7.472945834759215,0,21.599593204224117,-1.867182589327713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,27,157.52558199999999,0.033419,17.878858322706378,-7.479982161346765,0,21.539497980668514,-1.8403119028466952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,28,157.558998,0.033416,17.62849119351788,-7.486955397627348,0,21.47940987091447,-1.8133882964747496,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,29,157.59241699999998,0.033419,17.378101216706916,-7.493990077941957,0,21.41931627595586,-1.7857573757937122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,30,157.625855,0.033438,17.12756213167423,-7.500692814294592,0,21.35918689605338,-1.7587000595930695,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,31,157.659312,0.033457,16.876887813581686,-7.507499211867428,0,21.29956811137443,-1.7301446809229517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,32,157.69276299999999,0.033451,16.626258022873184,-7.514158750717011,0,21.248873909658375,-1.7014699061539054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,33,157.726183,0.03342,16.375853858024545,-7.520934451179546,0,21.188776911861407,-1.6713553900253775,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,34,157.759596,0.033413,16.125509205978553,-7.5274678669433985,0,21.129292388060932,-1.6411005695549088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,35,157.793006,0.03341,15.875186572942866,-7.533990233769505,0,21.07861675994191,-1.6093632731942653,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,36,157.82641999999998,0.033414,15.624827393718833,-7.540190595479612,0,21.019156028301744,-1.5774082757085155,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,37,157.85983299999998,0.033413,15.373843487542944,-7.546472312058484,0,20.96908709804842,-1.5432614652380905,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,38,157.893246,0.033413,15.114137600302069,-7.552411601480389,0,20.919018069000995,-1.5088986256539165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,39,157.92665599999998,0.03341,14.863808423305196,-7.558421239369569,0,20.86895223196149,-1.472304803575512,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,40,157.960071,0.033415,14.612768173717424,-7.564120809628117,0,20.818880305663892,-1.434872429933476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,41,157.993487,0.033416,14.3530811372484,-7.5694560089813745,0,20.76950209445499,-1.3965458883782527,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,3,1,42,158.026921,0.033434,14.102572171874884,-7.574546885797387,0,20.728704983754398,-1.3566009338492606,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
