id,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,angle
7,1,1,1,0.0,0.0,175.98646745109,0.0,0.0,541.2698387419805,0.0,0.0,59.224562115334884,0.0,0.0,-0.5914725156414514,0.0,0.0,0.0
7,1,1,2,0.033431,0.033431,175.98646745109,0.0,0.0,541.2698387419805,0.0,0.0,59.224562115334884,0.0,0.0,-0.5914725156414514,0.0,0.0,0.0
7,1,1,3,0.066869,0.033438,175.98646745109,0.0,0.0,541.2698387419805,0.0,0.0,59.224562115334884,0.0,0.0,-0.5914725156414514,0.0,0.0,0.0
7,1,1,4,0.10031,0.033441,175.98646745109,0.0,0.0,541.2698387419805,0.0,0.0,59.224562115334884,0.0,0.0,-0.5914725156414514,0.0,0.0,0.0
7,1,1,5,0.133752,0.033442,175.98646745109,0.0,0.0,541.2698387419805,0.0,0.0,59.224562115334884,0.0,0.0,-0.5914725156414514,0.0,0.0,0.0
7,1,1,6,0.167199,0.033447,175.98646745109,0.0,0.0,541.2698387419805,0.0,0.0,59.224562115334884,0.0,0.0,-0.5914725156414514,0.0,0.0,0.0
7,1,1,7,0.200645,0.033446,175.98648839731848,0.00132658272638851,0.051644790110959994,541.2698314432384,-0.0002430740107730512,-0.009463039054920653,59.22458019528835,0.000976177712014026,0.03800327846904397,-0.5914596652948816,0.0009305824945875197,0.036228224899439394,100.38330759603348
7,1,1,8,0.234082,0.033437,175.9865674599007,0.0035883823889258817,0.08332631688908669,541.26981609775,-0.000657510565144829,-0.015268130872491409,59.22463848940599,0.002640543100158618,0.061316409948244936,-0.5914040939734203,0.002517208860749383,0.05845244885972408,100.38330362123308
7,1,1,9,0.267495,0.033413,175.986739160529,0.006875293827151897,0.11310852502592009,541.2697827718717,-0.0012597805932963598,-0.02072516969112374,59.224765087049796,0.0050592459790569175,0.08323190634379338,-0.5912834094404601,0.004822939194756191,0.07934431837656246,100.38329500438154
7,1,1,10,0.300909,0.033414,175.98703672945032,0.011126624831070317,0.14105193771117144,541.2697250158476,-0.002038761657120051,-0.025845217492439197,59.22498448941704,0.00818762523503894,0.10379430054774634,-0.5910742548982485,0.007805198411090327,0.09894628630271923,100.38328008040143
