scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,1,Pedestrian,,placeholder,2;3;4;5;6;7;8;9;10;11;12,0,12.012
2,s,2,Pedestrian,,placeholder,1;3;4;5;6;7;8;9;10;11;12,0,12.012
3,s,3,Pedestrian,,placeholder,1;2;4;5,0,2.168833
4,s,4,Pedestrian,,placeholder,1;2;3;5,0,2.5025
5,s,5,Pedestrian,,placeholder,1;2;3;4;6;7;8;9;10;11,1.001,10.844167
6,s,6,Pedestrian,,placeholder,1;2;5;7;8;9;10;11;12,3.336667,14.681333
7,s,7,Pedestrian,,placeholder,1;2;5;6;8;9;10;11;12;14,5.171833,17.350667
8,s,9,Pedestrian,,placeholder,1;2;5;6;7;10;11;12;14;15,7.007,20.186833
9,s,10,Pedestrian,,placeholder,1;2;5;6;7;9;11;12;14;15,7.007,20.186833
10,s,11,Pedestrian,,placeholder,1;2;5;6;7;9;10;12;14;15;16;17,10.176833,23.5235
11,s,12,Pedestrian,,placeholder,1;2;6;7;9;10;11;14;15;16;17,11.678333,23.690333
12,s,15,Pedestrian,,placeholder,9;10;11;12;16;17;18;19,18.351667,33.700333
13,s,16,Pedestrian,,placeholder,11;12;15;17;18;19;20,21.021,36.5365
14,s,17,Pedestrian,,placeholder,11;12;15;16;18;19;20,21.187833,36.5365
15,s,18,Pedestrian,,placeholder,15;16;17;19;20,24.5245,37.037
16,s,19,Pedestrian,,placeholder,15;16;17;18;20;21,25.191833,40.206833
17,s,20,Pedestrian,,placeholder,16;17;18;19;21;22;23;24,35.201833,52.218833
18,s,21,Pedestrian,,placeholder,19;20;22;23;24,37.871167,52.052
19,s,22,Pedestrian,,placeholder,20;21;23;24;25;26;27;28,42.709333,64.064
20,s,23,Pedestrian,,placeholder,20;21;22;24,43.5435,55.722333
21,s,24,Pedestrian,,placeholder,20;21;22;23,46.212833,58.5585
22,s,25,Pedestrian,,placeholder,22;26;27;28;29,60.727333,77.410667
23,s,26,Pedestrian,,placeholder,22;25;27;28;29,60.894167,77.5775
24,s,27,Pedestrian,,placeholder,22;25;26;28;29,63.897167,79.245833
25,s,28,Pedestrian,,placeholder,22;25;26;27;29,64.064,79.245833
26,s,30,Pedestrian,,placeholder,29;31;32,80.413667,94.260833
27,s,31,Pedestrian,,placeholder,30;32;33,82.916167,96.096
28,s,33,Pedestrian,,placeholder,31;32;34;35;36;37,94.427667,107.6075
29,s,34,Pedestrian,,placeholder,33;35;36;37,99.766333,112.278833
30,s,35,Pedestrian,,placeholder,33;34;36;37,100.934167,112.112
31,s,36,Pedestrian,,placeholder,33;34;35;37;38;39;40;41;42;43;44;45;46;47,103.770333,128.128
32,s,37,Pedestrian,,placeholder,33;34;35;36,104.771333,118.118
33,s,38,Pedestrian,,placeholder,36;39;40;41;42;43;44;45;46;47;48;49;50;51;52,118.785333,134.801333
34,s,39,Pedestrian,,placeholder,36;38;40;41;42;43;44;45;46;47;48;49;50;51;52;53,122.6225,136.970167
35,s,40,Pedestrian,,placeholder,36;38;39;41;42;43;44;45;46;47;48;49;50;51;52;53,122.6225,136.803333
36,s,41,Pedestrian,,placeholder,36;38;39;40;42;43;44;45;46;47;48;49;50;51;52;53;54,122.6225,138.138
37,s,42,Pedestrian,,placeholder,36;38;39;40;41;43;44;45;46;47;48;49;50;51;52;53;54,122.956167,138.471667
38,s,43,Pedestrian,,placeholder,36;38;39;40;41;42;44;45;46;47;48;49;50;51;52;53;54,123.790333,138.304833
39,s,44,Pedestrian,,placeholder,36;38;39;40;41;42;43;45;46;47;48;49;50;51;52;53;54,123.957167,138.138
40,s,45,Pedestrian,,placeholder,36;38;39;40;41;42;43;44;46;47;48;49;50;51;52;53;54,125.458667,139.806333
41,s,48,Pedestrian,,placeholder,38;39;40;41;42;43;44;45;47;49;50;51;52;53;54,128.962167,138.972167
42,s,50,Pedestrian,,placeholder,38;39;40;41;42;43;44;45;47;48;49;51;52;53;54;55,130.13,143.6435
43,s,55,Pedestrian,,placeholder,47;49;50;56;57,142.475667,156.823333
44,s,56,Pedestrian,,placeholder,55;57,150.483667,166.6665
45,s,58,Pedestrian,,placeholder,59;60;61;62;63;64;65,175.175,188.188
46,s,59,Pedestrian,,placeholder,58;60;61;62;63;64;65;66,181.014167,202.035167
47,s,60,Pedestrian,,placeholder,58;59;61;62;63;64;65;66,181.347833,200.2
48,s,61,Pedestrian,,placeholder,58;59;60;62;63;64;65;66,182.515667,202.035167
49,s,62,Pedestrian,,placeholder,58;59;60;61;63;64;65;66,183.183,203.369833
50,s,63,Pedestrian,,placeholder,58;59;60;61;62;64;65;66,184.017167,198.6985
51,s,64,Pedestrian,,placeholder,58;59;60;61;62;63;65;66,184.851333,204.037167
52,s,65,Pedestrian,,placeholder,58;59;60;61;62;63;64;66,185.518667,204.037167
53,s,66,Pedestrian,,placeholder,59;60;61;62;63;64;65,189.856333,202.869333
54,s,70,Pedestrian,,placeholder,69;71;73,228.895333,244.077167
55,s,75,Pedestrian,,placeholder,76;77;78;79;80;81;82,245.912333,261.594667
56,s,76,Pedestrian,,placeholder,75;77;78;79;80;81;82,249.249,261.928333
57,s,77,Pedestrian,,placeholder,75;76;78;79;80;81;82;83;84;85,250.917333,264.597667
58,s,78,Pedestrian,,placeholder,75;76;77;79;80;81;82;83;84;85,252.418833,265.932333
