scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,1,Pedestrian,,placeholder,,0,5.5055
2,s,3,Pedestrian,,placeholder,4;5;6,6.5065,22.5225
3,s,4,Pedestrian,,placeholder,3;5;6,10.343667,27.027
4,s,6,Pedestrian,,placeholder,3;4;5;7,20.353667,33.867167
5,s,7,Pedestrian,,placeholder,5;6,31.364667,54.387667
6,s,9,Pedestrian,,placeholder,10;11;12;13;15,69.903167,83.249833
7,s,10,Pedestrian,,placeholder,9;11;12;13;15;16;17;18,69.903167,91.925167
8,s,11,Pedestrian,,placeholder,9;10;12;13;15;16,70.07,83.750333
9,s,12,Pedestrian,,placeholder,9;10;11;13;15;16;17;18,74.074,86.086
10,s,13,Pedestrian,,placeholder,9;10;11;12;15;16;17,74.5745,85.085
11,s,15,Pedestrian,,placeholder,9;10;11;12;13;16;17;18;19;20,82.415667,96.262833
12,s,16,Pedestrian,,placeholder,10;11;12;13;15;17;18;19;20,83.5835,94.427667
13,s,17,Pedestrian,,placeholder,10;12;13;15;16;18;19;20,85.085,98.098
14,s,21,Pedestrian,,placeholder,19;20;22;23;24;25,98.264833,108.6085
15,s,22,Pedestrian,,placeholder,21;23;24;25;26,100.266833,113.279833
16,s,24,Pedestrian,,placeholder,21;22;23;25;26,106.439667,119.953167
17,s,25,Pedestrian,,placeholder,21;22;23;24;26,106.439667,119.452667
18,s,26,Pedestrian,,placeholder,22;23;24;25,112.946167,116.950167
19,s,28,Pedestrian,,placeholder,29;30;31,125.6255,137.6375
20,s,30,Pedestrian,,placeholder,28;29;31;32;33;34;35,134.134,147.6475
21,s,32,Pedestrian,,placeholder,30;31;33;34;35;36;37,141.474667,154.487667
22,s,33,Pedestrian,,placeholder,30;31;32;34;35;36;37,143.309833,155.989167
23,s,34,Pedestrian,,placeholder,30;31;32;33;35;36;37,143.309833,155.989167
24,s,35,Pedestrian,,placeholder,30;31;32;33;34;36;37;38;39,145.812333,161.327833
25,s,36,Pedestrian,,placeholder,31;32;33;34;35;37;38;39;40;41,150.15,162.996167
26,s,37,Pedestrian,,placeholder,31;32;33;34;35;36;38;39;40;41,151.151,164.6645
27,s,38,Pedestrian,,placeholder,31;35;36;37;39;40;41;43,157.490667,173.006167
28,s,39,Pedestrian,,placeholder,31;35;36;37;38;40;41;43,159.159,172.6725
29,s,40,Pedestrian,,placeholder,31;36;37;38;39;41;43,162.328833,174.340833
30,s,41,Pedestrian,,placeholder,31;36;37;38;39;40;43,162.6625,174.174
31,s,43,Pedestrian,,placeholder,31;38;39;40;41,165.331833,175.6755
32,s,45,Pedestrian,,placeholder,46;47;48;49;50;51;52;53;54;55;56,181.514667,200.033167
33,s,46,Pedestrian,,placeholder,45;47;48;49;50;51;52;53;54;55;56;57;58,188.6885,205.038167
34,s,47,Pedestrian,,placeholder,45;46;48;49;50;51;52;53;54;55;56;57,190.023167,202.535667
35,s,48,Pedestrian,,placeholder,45;46;47;49;50;51;52;53;54;55;56;57;58,190.6905,205.538667
36,s,49,Pedestrian,,placeholder,45;46;47;48;50;51;52;53;54;55;56;57;58;59;60;61;62;63,192.859333,212.879333
37,s,50,Pedestrian,,placeholder,45;46;47;48;49;51;52;53;54;55;56;57;58,193.526667,205.038167
38,s,51,Pedestrian,,placeholder,45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62,193.6935,208.875333
39,s,52,Pedestrian,,placeholder,45;46;47;48;49;50;51;53;54;55;56;57;58,194.360833,205.872333
40,s,53,Pedestrian,,placeholder,45;46;47;48;49;50;51;52;54;55;56;57;58;59,195.862333,206.539667
41,s,54,Pedestrian,,placeholder,45;46;47;48;49;50;51;52;53;55;56;57;58;59;60;61;62,196.863333,209.209
42,s,55,Pedestrian,,placeholder,45;46;47;48;49;50;51;52;53;54;56;57;58;59;60;61;62;63,198.6985,212.879333
43,s,56,Pedestrian,,placeholder,45;46;47;48;49;50;51;52;53;54;55;57;58;59;60;61;62,199.6995,211.044167
44,s,57,Pedestrian,,placeholder,46;47;48;49;50;51;52;53;54;55;56;58;59;60;61;62,201.034167,211.7115
45,s,58,Pedestrian,,placeholder,46;48;49;50;51;52;53;54;55;56;57;59;60;61;62;63;64,205.038167,218.051167
46,s,59,Pedestrian,,placeholder,49;51;53;54;55;56;57;58;60;61;62;63;64,206.539667,216.549667
47,s,60,Pedestrian,,placeholder,49;51;54;55;56;57;58;59;61;62;63;64,207.540667,223.056167
48,s,61,Pedestrian,,placeholder,49;51;54;55;56;57;58;59;60;62;63;64,207.7075,223.556667
49,s,62,Pedestrian,,placeholder,49;51;54;55;56;57;58;59;60;61;63;64,207.7075,223.7235
50,s,63,Pedestrian,,placeholder,49;55;58;59;60;61;62;64,212.7125,224.557667
51,s,64,Pedestrian,,placeholder,58;59;60;61;62;63;66,215.215,226.7265
52,s,66,Pedestrian,,placeholder,64,225.225,240.24
53,s,69,Pedestrian,,placeholder,68,253.086167,263.096167
54,s,71,Pedestrian,,placeholder,72;73;74;75;76;77,277.7775,288.454833
55,s,72,Pedestrian,,placeholder,71;73;74;75;76;77;78,284.450833,290.7905
56,s,73,Pedestrian,,placeholder,71;72;74;75;76;77;78,284.450833,290.7905
57,s,74,Pedestrian,,placeholder,71;72;73;75;76;77;78,284.7845,290.7905
58,s,75,Pedestrian,,placeholder,71;72;73;74;76;77;78,285.952333,290.7905
59,s,76,Pedestrian,,placeholder,71;72;73;74;75;77;78,287.120167,290.7905
60,s,77,Pedestrian,,placeholder,71;72;73;74;75;76;78,287.7875,290.7905
61,s,78,Pedestrian,,placeholder,72;73;74;75;76;77,288.7885,290.7905
