scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,16,,,placeholder,17;19;21,0,88.755333
2,s,17,,,placeholder,16;19;21,0,87.420667
3,s,19,,,placeholder,16;17;21,0,4.337667
4,s,21,,,placeholder,16;17;19;101,0,89.756333
5,s,101,,,placeholder,21;116;123,89.255833,125.6255
6,s,116,,,placeholder,101;123;166;195;203;204,103.6035,210.376833
7,s,123,,,placeholder,101;116;166;195;203;204,107.941167,205.371833
8,x,166,,,placeholder,116;123,142.976167,164.6645
9,s,195,,,placeholder,116;123;203;204;237;241;248,189.6895,257.924333
10,s,203,,,placeholder,116;123;195;204;237;241;248,196.362833,257.924333
11,s,204,,,placeholder,116;123;195;203;237;241;248,196.362833,257.924333
12,s,237,,,placeholder,195;203;204;241;248,227.894333,257.924333
13,s,241,,,placeholder,195;203;204;237;248,235.568667,257.924333
14,s,248,,,placeholder,195;203;204;237;241,249.249,257.924333
