scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,,18,,,placeholder,19;20;23;25;49;51,0,32.032
2,,19,,,placeholder,18;20;23;25;49;51,0,54.054
3,,20,,,placeholder,18;19;23;25;49;51,0,54.054
4,,23,,,placeholder,18;19;20;25;49;51,0,47.380667
5,,25,,,placeholder,18;19;20;23,0,16.349667
6,,49,,,placeholder,18;19;20;23;51,22.856167,57.390667
7,,51,,,placeholder,18;19;20;23;49,24.024,41.041
8,,106,,,placeholder,107;108;109;112;143;144;150;153;178;226;227,84.084,205.205
9,,107,,,placeholder,106;108;109;112;143;144;150;153;178;226;227,84.084,206.039167
10,,108,,,placeholder,106;107;109;112;143;144;150;153;178;226;227,84.751333,204.871333
11,,109,,,placeholder,106;107;108;112;143;144;150;153,85.251833,152.6525
12,,112,,,placeholder,106;107;108;109;143;144;150;153;178;226;227,89.5895,202.7025
13,,143,,,placeholder,106;107;108;109;112;144;150;153;178;226;227;251;252,123.957167,232.398833
14,,144,,,placeholder,106;107;108;109;112;143;150;153;178;226;227,124.124,204.037167
15,,150,,,placeholder,106;107;108;109;112;143;144;153,132.966167,142.308833
16,,153,,,placeholder,106;107;108;109;112;143;144;150,135.468667,138.805333
17,,178,,,placeholder,106;107;108;112;143;144;226;227;251;252;266,157.6575,278.444833
18,,226,,,placeholder,106;107;108;112;143;144;178;227,191.357833,204.871333
19,,227,,,placeholder,106;107;108;112;143;144;178;226,191.357833,204.537667
20,,251,,,placeholder,143;178;252;266,223.389833,291.124167
21,,252,,,placeholder,143;178;251,225.391833,237.403833
22,,266,,,placeholder,178;251,243.910333,291.124167
