scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,,22,,,placeholder,35;45;51;53;109;117,7.173833,110.777333
2,,35,,,placeholder,22;45;51;53,28.361667,57.223833
3,,45,,,placeholder,22;35;51;53;109;117;143;149;151,41.374667,164.164
4,,51,,,placeholder,22;35;45;53,50.05,88.922167
5,,53,,,placeholder,22;35;45;51;109;117;143;149;151,50.717333,151.985167
6,,109,,,placeholder,22;45;53;117;143;149;151,94.928167,175.6755
7,,117,,,placeholder,22;45;53;109,102.268833,112.6125
8,,143,,,placeholder,45;53;109;149;151,138.972167,159.993167
9,,149,,,placeholder,45;53;109;143;151,143.6435,165.6655
10,,151,,,placeholder,45;53;109;143;149,144.6445,163.329833
11,,178,,,placeholder,,180.6805,188.188
