scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,22,,,placeholder,23;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,104.6045
2,s,23,,,placeholder,22;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,91.758333
3,s,24,,,placeholder,22;23;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,91.5915
4,s,26,,,placeholder,22;23;24;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,106.773333
5,s,27,,,placeholder,22;23;24;26;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,87.5875
6,s,28,,,placeholder,22;23;24;26;27;29;30;31;32;33;39;67;74;75;86,0,43.877167
7,s,29,,,placeholder,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,0,92.759333
8,s,30,,,placeholder,22;23;24;26;27;28;29;31;32;33;39;67;74;75,0,27.193833
9,s,31,,,placeholder,22;23;24;26;27;28;29;30;32;33;39;67;74;75,0,28.194833
10,s,32,,,placeholder,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,0,107.941167
11,s,33,,,placeholder,22;23;24;26;27;28;29;30;31;32;39;67;74;75;86;97;98;127,0,104.104
12,s,39,,,placeholder,22;23;24;26;27;28;29;30;31;32;33;67;74;75;86;97;98,2.335667,65.231833
13,s,67,,,placeholder,22;23;24;26;27;28;29;30;31;32;33;39;74;75;86;97;98;127;162;163;178;185;200;201;217;257;261;279;280,14.681333,266.266
14,s,74,,,placeholder,22;23;24;26;27;28;29;30;31;32;33;39;67;75;86;97;98,19.185833,75.5755
15,s,75,,,placeholder,22;23;24;26;27;28;29;30;31;32;33;39;67;74;86;97;98,19.185833,76.910167
16,s,86,,,placeholder,22;23;24;26;27;28;29;32;33;39;67;74;75;97;98,30.5305,81.414667
17,s,97,,,placeholder,22;23;24;26;27;29;32;33;39;67;74;75;86;98;127;162;163,47.881167,135.135
18,s,98,,,placeholder,22;23;24;26;27;29;32;33;39;67;74;75;86;97;127,48.214833,97.764333
19,s,127,,,placeholder,22;23;24;26;27;29;32;33;67;97;98,87.087,109.776333
20,s,162,,,placeholder,67;97;163,116.449667,126.793333
21,s,163,,,placeholder,67;97;162,117.951167,127.794333
22,s,178,,,placeholder,67;185;200;201;217,135.969167,208.541667
23,s,185,,,placeholder,67;178;200;201;217;257;261,148.481667,231.7315
24,s,200,,,placeholder,67;178;185;201;217;257;261;279;280,174.507667,272.605667
25,s,201,,,placeholder,67;178;185;200;217,175.341833,192.6925
26,s,217,,,placeholder,67;178;185;200;201,189.355833,215.215
27,s,257,,,placeholder,67;185;200;261;279;280,224.557667,290.957333
28,s,261,,,placeholder,67;185;200;257;279;280,230.563667,262.7625
29,s,279,,,placeholder,67;200;257;261;280,257.7575,290.957333
30,s,280,,,placeholder,67;200;257;261;279,257.7575,290.957333
