file_id,scenario_id,A,B,C,D,E,F,acceleration_time,aggressiveness_level_enter_xwalk,aggressiveness_level_select_xwalk,approaching_xwalk_threshold,desired_speed,dist_from_xwalk_exit,goal_threshold,mass,omega,phi,radius,speed_increase_pct,xwalk_entry_threshold,xwalk_exit_threshold
591,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.53493206951027,1.5,0.5,53.43,240,120,0.25,0.5,1.5,1.5
592,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.2970729084191084,1.5,0.5,60.7,240,120,0.25,0.5,1.5,1.5
593,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6116521115211158,1.5,0.5,60.36,240,120,0.25,0.5,1.5,1.5
595,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7615594042838016,1.5,0.5,71.38,240,120,0.25,0.5,1.5,1.5
596,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6617579597141008,1.5,0.5,62.26,240,120,0.25,0.5,1.5,1.5
598,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6011684782608697,1.5,0.5,59.76,240,120,0.25,0.5,1.5,1.5
599,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.540694444444445,1.5,0.5,73.54,240,120,0.25,0.5,1.5,1.5
600,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,2.0284786135693222,1.5,0.5,55.42,240,120,0.25,0.5,1.5,1.5
602,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.688753326679973,1.5,0.5,70.92,240,120,0.25,0.5,1.5,1.5
603,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.8998014763014772,1.5,0.5,78.5,240,120,0.25,0.5,1.5,1.5
604,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4737500000000001,1.5,0.5,51.04,240,120,0.25,0.5,1.5,1.5
605,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4847089404978744,1.5,0.5,79.73,240,120,0.25,0.5,1.5,1.5
606,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.8750960602036295,1.5,0.5,65.86,240,120,0.25,0.5,1.5,1.5
607,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.263638888888889,1.5,0.5,55.72,240,120,0.25,0.5,1.5,1.5
609,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5971203027845358,1.5,0.5,63.4,240,120,0.25,0.5,1.5,1.5
610,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5791275413711594,1.5,0.5,63.15,240,120,0.25,0.5,1.5,1.5
611,1,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.605186765491451,1.5,0.5,76.6,240,120,0.25,0.5,1.5,1.5
600,3,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3103197655748229,1.5,0.5,69.31,240,120,0.25,0.5,1.5,1.5
596,3,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7110239820565922,1.5,0.5,76.62,240,120,0.25,0.5,1.5,1.5
591,2,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7961062734082411,1.5,0.5,61.03,240,120,0.25,0.5,1.5,1.5
591,3,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6489345878136195,1.5,0.5,64.12,240,120,0.25,0.5,1.5,1.5
591,41,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6096420571765402,1.5,0.5,61.17,240,120,0.25,0.5,1.5,1.5
591,9,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5579208937198077,1.5,0.5,50.65,240,120,0.25,0.5,1.5,1.5
591,5,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7876658013153337,1.5,0.5,53.21,240,120,0.25,0.5,1.5,1.5
591,6,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.715057515337423,1.5,0.5,79.43,240,120,0.25,0.5,1.5,1.5
591,7,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.783091771372259,1.5,0.5,78.54,240,120,0.25,0.5,1.5,1.5
591,8,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5725542474607623,1.5,0.5,69.07,240,120,0.25,0.5,1.5,1.5
591,10,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4407465364366847,1.5,0.5,50.97,240,120,0.25,0.5,1.5,1.5
591,11,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4798157505910172,1.5,0.5,64.15,240,120,0.25,0.5,1.5,1.5
591,13,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5614826685660006,1.5,0.5,58.95,240,120,0.25,0.5,1.5,1.5
591,14,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.717686079545455,1.5,0.5,64.9,240,120,0.25,0.5,1.5,1.5
591,15,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7769296177206149,1.5,0.5,66.92,240,120,0.25,0.5,1.5,1.5
591,16,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4432043101035539,1.5,0.5,63.95,240,120,0.25,0.5,1.5,1.5
591,17,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4274234704317603,1.5,0.5,57.1,240,120,0.25,0.5,1.5,1.5
591,18,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.653574046920821,1.5,0.5,65.73,240,120,0.25,0.5,1.5,1.5
591,19,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.496120397286821,1.5,0.5,72.66,240,120,0.25,0.5,1.5,1.5
591,20,10,0.8,12,0.35,400,0.82,0.5,2,2,5,2.992872511239562,1.5,0.5,73.99,240,120,0.25,0.5,1.5,1.5
591,21,10,0.8,12,0.35,400,0.82,0.5,2,2,5,2.9067311335902364,1.5,0.5,66.76,240,120,0.25,0.5,1.5,1.5
591,23,10,0.8,12,0.35,400,0.82,0.5,2,2,5,3.0165726753944266,1.5,0.5,50.08,240,120,0.25,0.5,1.5,1.5
591,24,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7747388502191273,1.5,0.5,54.42,240,120,0.25,0.5,1.5,1.5
591,25,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.610594171483622,1.5,0.5,64.57,240,120,0.25,0.5,1.5,1.5
591,26,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5486672052939363,1.5,0.5,78.41,240,120,0.25,0.5,1.5,1.5
591,27,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3958300775838177,1.5,0.5,62.32,240,120,0.25,0.5,1.5,1.5
591,28,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5787599106644317,1.5,0.5,71.98,240,120,0.25,0.5,1.5,1.5
591,29,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4872563954384357,1.5,0.5,76.98,240,120,0.25,0.5,1.5,1.5
591,30,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7833522845275172,1.5,0.5,68.43,240,120,0.25,0.5,1.5,1.5
591,31,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3927017094017098,1.5,0.5,73.62,240,120,0.25,0.5,1.5,1.5
591,32,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7587009902651891,1.5,0.5,52.5,240,120,0.25,0.5,1.5,1.5
591,33,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4978948159943377,1.5,0.5,53.33,240,120,0.25,0.5,1.5,1.5
591,35,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5888324099723024,1.5,0.5,62.44,240,120,0.25,0.5,1.5,1.5
591,36,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.440437170961485,1.5,0.5,75.22,240,120,0.25,0.5,1.5,1.5
591,37,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.47811111111111,1.5,0.5,62.52,240,120,0.25,0.5,1.5,1.5
591,38,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4970721795964768,1.5,0.5,68.78,240,120,0.25,0.5,1.5,1.5
591,39,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4328411764705875,1.5,0.5,51.53,240,120,0.25,0.5,1.5,1.5
591,42,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5496129578331788,1.5,0.5,61.04,240,120,0.25,0.5,1.5,1.5
591,43,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4885132551753268,1.5,0.5,64.42,240,120,0.25,0.5,1.5,1.5
591,44,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6370600137174212,1.5,0.5,68.59,240,120,0.25,0.5,1.5,1.5
591,45,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3931196581196588,1.5,0.5,68.8,240,120,0.25,0.5,1.5,1.5
591,46,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.480068656716418,1.5,0.5,68.25,240,120,0.25,0.5,1.5,1.5
591,47,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4151136425834705,1.5,0.5,72.66,240,120,0.25,0.5,1.5,1.5
591,48,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4824365586814428,1.5,0.5,56.12,240,120,0.25,0.5,1.5,1.5
591,49,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5175953630796166,1.5,0.5,71.9,240,120,0.25,0.5,1.5,1.5
591,50,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5115560592976387,1.5,0.5,60.63,240,120,0.25,0.5,1.5,1.5
591,51,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5617800179211472,1.5,0.5,72.93,240,120,0.25,0.5,1.5,1.5
591,52,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.532556131260795,1.5,0.5,51.9,240,120,0.25,0.5,1.5,1.5
591,53,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5432823779193197,1.5,0.5,52.22,240,120,0.25,0.5,1.5,1.5
591,54,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.516188687392056,1.5,0.5,76.33,240,120,0.25,0.5,1.5,1.5
591,55,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.494876859142608,1.5,0.5,63.2,240,120,0.25,0.5,1.5,1.5
591,56,10,0.8,12,0.35,400,0.82,0.5,2,2,5,2.9557677122347066,1.5,0.5,75.88,240,120,0.25,0.5,1.5,1.5
591,57,10,0.8,12,0.35,400,0.82,0.5,2,2,5,3.1706418650793644,1.5,0.5,67.37,240,120,0.25,0.5,1.5,1.5
591,58,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5129455238917662,1.5,0.5,77.17,240,120,0.25,0.5,1.5,1.5
591,60,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6174342836257303,1.5,0.5,57.57,240,120,0.25,0.5,1.5,1.5
591,61,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6256533548784244,1.5,0.5,58.12,240,120,0.25,0.5,1.5,1.5
591,62,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4975491722783405,1.5,0.5,54.66,240,120,0.25,0.5,1.5,1.5
591,63,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.544649241761445,1.5,0.5,59.87,240,120,0.25,0.5,1.5,1.5
591,64,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5414004854368935,1.5,0.5,66.34,240,120,0.25,0.5,1.5,1.5
591,65,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6057833948907358,1.5,0.5,75.59,240,120,0.25,0.5,1.5,1.5
591,66,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4542537172208696,1.5,0.5,57.87,240,120,0.25,0.5,1.5,1.5
591,67,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4852723765432088,1.5,0.5,65.88,240,120,0.25,0.5,1.5,1.5
591,68,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7331673589477319,1.5,0.5,65.69,240,120,0.25,0.5,1.5,1.5
591,69,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4422965927750413,1.5,0.5,52.72,240,120,0.25,0.5,1.5,1.5
591,70,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.847336431623931,1.5,0.5,77.88,240,120,0.25,0.5,1.5,1.5
591,71,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.656223884140551,1.5,0.5,67.1,240,120,0.25,0.5,1.5,1.5
591,73,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7058190310846553,1.5,0.5,65.69,240,120,0.25,0.5,1.5,1.5
591,74,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7701252163378336,1.5,0.5,51.64,240,120,0.25,0.5,1.5,1.5
591,75,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4981384626314282,1.5,0.5,76.43,240,120,0.25,0.5,1.5,1.5
591,76,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5031491901108271,1.5,0.5,78.65,240,120,0.25,0.5,1.5,1.5
591,77,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.581789863547758,1.5,0.5,50.25,240,120,0.25,0.5,1.5,1.5
591,79,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4924466467746524,1.5,0.5,71.42,240,120,0.25,0.5,1.5,1.5
591,80,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5206307888712793,1.5,0.5,73.61,240,120,0.25,0.5,1.5,1.5
591,81,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6802007445589933,1.5,0.5,66.8,240,120,0.25,0.5,1.5,1.5
591,82,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6947914789789786,1.5,0.5,72.51,240,120,0.25,0.5,1.5,1.5
591,83,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.2565869086908696,1.5,0.5,60.53,240,120,0.25,0.5,1.5,1.5
591,84,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5790692129629627,1.5,0.5,50.17,240,120,0.25,0.5,1.5,1.5
591,85,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6261582025238521,1.5,0.5,75.13,240,120,0.25,0.5,1.5,1.5
591,87,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6884163309835494,1.5,0.5,65.77,240,120,0.25,0.5,1.5,1.5
591,88,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7140254629629639,1.5,0.5,58.16,240,120,0.25,0.5,1.5,1.5
591,89,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6974103835978849,1.5,0.5,58.82,240,120,0.25,0.5,1.5,1.5
591,90,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6581202633269088,1.5,0.5,65.94,240,120,0.25,0.5,1.5,1.5
591,91,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4969682642487043,1.5,0.5,64.13,240,120,0.25,0.5,1.5,1.5
591,92,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.487147769252628,1.5,0.5,58.55,240,120,0.25,0.5,1.5,1.5
591,94,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4301247110494684,1.5,0.5,63.18,240,120,0.25,0.5,1.5,1.5
591,95,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.731564928425357,1.5,0.5,75.88,240,120,0.25,0.5,1.5,1.5
591,96,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5160075285565942,1.5,0.5,72.36,240,120,0.25,0.5,1.5,1.5
591,97,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6433680691454668,1.5,0.5,60.63,240,120,0.25,0.5,1.5,1.5
591,98,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6128612068965529,1.5,0.5,65.81,240,120,0.25,0.5,1.5,1.5
591,99,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.668083570750236,1.5,0.5,52.14,240,120,0.25,0.5,1.5,1.5
591,100,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.728677992724867,1.5,0.5,60.34,240,120,0.25,0.5,1.5,1.5
591,101,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6994994407158828,1.5,0.5,79.47,240,120,0.25,0.5,1.5,1.5
591,102,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4019312307098781,1.5,0.5,59.25,240,120,0.25,0.5,1.5,1.5
591,103,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6217748283148443,1.5,0.5,63.97,240,120,0.25,0.5,1.5,1.5
591,104,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.8851964573268916,1.5,0.5,65.67,240,120,0.25,0.5,1.5,1.5
591,105,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4592673344700198,1.5,0.5,52.86,240,120,0.25,0.5,1.5,1.5
591,106,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7763138207225626,1.5,0.5,71.07,240,120,0.25,0.5,1.5,1.5
591,107,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6170292397660821,1.5,0.5,77.47,240,120,0.25,0.5,1.5,1.5
591,108,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5962292243767284,1.5,0.5,67.73,240,120,0.25,0.5,1.5,1.5
591,109,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5901530470914125,1.5,0.5,57.22,240,120,0.25,0.5,1.5,1.5
591,110,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5822180670975685,1.5,0.5,65.28,240,120,0.25,0.5,1.5,1.5
591,111,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5655804093567258,1.5,0.5,50.71,240,120,0.25,0.5,1.5,1.5
591,112,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5782177593105593,1.5,0.5,77.81,240,120,0.25,0.5,1.5,1.5
591,113,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6183532265890326,1.5,0.5,67.8,240,120,0.25,0.5,1.5,1.5
591,114,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5953677285318562,1.5,0.5,56.2,240,120,0.25,0.5,1.5,1.5
591,115,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.583511388119423,1.5,0.5,74.33,240,120,0.25,0.5,1.5,1.5
