id,agent_type,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,yaw
-78,pedestrian,4,1,1,96.029267,0.0,21.2490714093521,-0.04178076608169734,-1.2534229824509202,-1.3707321121740104,-0.09046440965759928,-2.7139322897279783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,2,96.062686,0.033419,21.246370140551033,-0.0810380640320115,-1.1777189385094244,-1.3765421079288793,-0.17429987264607158,-2.515063889654169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,3,96.096142,0.033456,21.242447450488054,-0.11768070188932973,-1.099279135719547,-1.3849602679447865,-0.25254480047721867,-2.3473478349344123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,4,96.12961200000001,0.03347,21.237384654248878,-0.15188388717524198,-1.0260955585773677,-1.395812629949959,-0.32557086015517356,-2.1907817903386473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,5,96.16304000000001,0.033428,21.231257616905662,-0.18381112029649652,-0.9578169936376361,-1.4089367972883824,-0.3937250201527074,-2.044624799926015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,6,96.196464,0.033424,21.22413711858553,-0.21361494960394783,-0.8941148792235398,-1.4241811585506867,-0.45733083786912754,-1.9081745314926037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,7,96.229906,0.033442,21.216089191366844,-0.24143781656064323,-0.8346860087008615,-1.441404195617829,-0.5166911120142667,-1.7808082243541723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,8,96.26333600000001,0.03343,21.20717543719014,-0.2674126253011374,-0.7792442622148259,-1.4604738008503844,-0.5720881569766629,-1.6619113488718902,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,9,96.29676400000001,0.033428,21.19745332531354,-0.2916633562981152,-0.7275219299093335,-1.4812666430496155,-0.6237852659769357,-1.5509132700081842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,10,96.33019,0.033426,21.18697646327202,-0.31430586124550774,-0.6792751484217775,-1.5036676037457757,-0.6720288208848019,-1.4473066472359855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,11,96.36362600000001,0.033436,21.175794858464446,-0.3354481442272913,-0.6342684894535073,-1.5275692134765935,-0.7170482919245362,-1.3505841311920295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,12,96.39706100000001,0.033435,21.163955155688623,-0.35519108327471954,-0.5922881714228472,-1.5528711540338835,-0.7590582167186999,-1.2602977438249099,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,13,96.43051,0.033449,21.151500860989994,-0.3736288409588582,-0.553132730524159,-1.5794797847448545,-0.7982589213291315,-1.1760211383129477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,14,96.463942,0.033432,21.138472548628272,-0.39084937085165133,-0.5166158967837946,-1.607307709489663,-0.8348377423442569,-1.0973646304537628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,15,96.497372,0.03343,21.12490806059481,-0.4069346410039261,-0.4825581045682435,-1.636273344220047,-0.8689690419115208,-1.0239389870179167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,16,96.53080200000001,0.03343,21.110842688532273,-0.4219611618761123,-0.4507956261655865,-1.666300532951821,-0.9008156619532222,-0.9553986012510406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,17,96.564233,0.033431,21.096309339593063,-0.4360004681763212,-0.42117918900626694,-1.6973182087372791,-0.9305302735637413,-0.8914383483155734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,18,96.59766400000001,0.033431,21.081338697706077,-0.4491192566096206,-0.3935636529989819,-1.7292600482735638,-0.9582551860885397,-0.8317473757439523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,19,96.63109800000001,0.033434,21.06595937216504,-0.461379766231102,-0.3678152886444414,-1.762064159483951,-0.9841233363116122,-0.7760445066921756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-78,pedestrian,4,1,20,96.664501,0.033403,21.050198036628583,-0.47284006609372153,-0.34380899587858665,-1.7956727897119713,-1.008258906840612,-0.7240671158699972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
