video_id,scenario_id,scenario_type,time,ed_mean,ed_median,ed_max,ed,ade,fd,hd
770,7,group_no_interaction_on_crosswalk;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,9.965615,0.64,0.49,1.79,0.49,0.65,1.79,1.79
770,8,group_no_interaction_on_walkway,10.509903,0.37,0.37,0.73,0.30,0.18,0.65,0.66
770,9,group_no_interaction_on_walkway,11.080605,0.84,0.80,1.16,0.68,0.75,1.10,1.10
770,11,group_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,70.956232,0.88,0.91,1.50,0.85,0.88,1.45,1.45
770,12,group_passes_oncoming_single_on_left_on_walkway,29.14214799999999,1.69,1.86,1.93,1.52,2.94,1.90,1.90
770,13,group_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,75.79050699999999,1.04,1.01,2.46,0.95,1.43,2.41,2.41
770,14,group_passes_oncoming_single_on_left_on_walkway,27.802397000000013,1.39,1.27,1.99,1.25,2.07,1.99,1.99
770,16,single_no_interaction_on_crosswalk,5.959348000000006,0.84,0.91,1.12,0.65,0.78,1.11,1.11
770,17,single_no_interaction_on_crosswalk;left_turning_vehicle_intersects_pedestrian_path-pedestrian_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,15.93237099999999,1.49,1.64,2.63,1.41,2.82,0.97,0.97
770,18,single_overtakes_group_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,22.978586000000007,2.32,2.63,3.21,2.01,5.97,1.82,1.82
770,19,single_passes_oncoming_single_on_left_on_walkway,21.652818999999994,0.89,0.96,1.18,0.80,0.83,1.02,1.02
770,20,single_no_interaction_on_walkway,0.6358749999999986,0.13,0.13,0.23,0.04,0.02,0.22,0.23
770,21,single_no_interaction_on_crosswalk,7.968353000000008,0.27,0.27,0.57,0.19,0.10,0.55,0.55
770,22,single_no_interaction_on_crosswalk,14.928642999999994,0.62,0.60,1.03,0.43,0.41,0.91,0.91
770,23,single_no_interaction_on_crosswalk;minor_cut_exit_corner,8.902246999999988,1.61,1.38,2.29,1.15,2.85,2.28,2.29
770,25,single_passes_oncoming_single_on_left_on_walkway,86.94236699999999,0.44,0.44,0.80,0.44,0.20,0.79,0.79
770,26,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_beginning_of_vehicle_turn,16.93207800000002,1.70,1.62,2.22,1.40,3.02,2.07,2.11
770,27,single_no_interaction_on_walkway,7.757437999999979,1.08,1.21,1.32,0.80,1.24,1.21,1.21
770,28,single_passes_oncoming_group_on_left_on_walkway,17.16936000000001,0.74,0.65,1.62,0.54,0.73,1.59,1.59
