id,agent_type,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,yaw
-18,pedestrian,4,1,1,16.349667,0.0,10.307874879695914,-0.31140943253025266,-3.000766284646495,5.066356394186817,-1.7889374477356008,2.0731419531822555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,2,16.384093,0.034426,10.294370070882724,-0.40514426439571877,-2.8120449559639833,5.00890236103268,-1.7236209946241174,1.9594935933445017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,3,16.417584,0.033491,10.27793711132562,-0.4929887867131052,-2.635335669521592,4.953506059971045,-1.6618890318490502,1.8519588832520169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,4,16.451054,0.03347,10.258760095327641,-0.5753104799393882,-2.4696507967884918,4.9000546005548085,-1.6035437824870926,1.7503574808587279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,5,16.484568,0.033514,10.237011612258067,-0.6524544920872011,-2.314320364434385,4.848441323095466,-1.5483983237802745,1.6543637612045456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,6,16.518049,0.033481,10.212853454164712,-0.7247447428006437,-2.168707521403279,4.798565461315438,-1.4962758534008347,1.563674111383198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,7,16.551499,0.03345,10.186437277461062,-0.7924853011095264,-2.0322167492664818,4.750331817761784,-1.4470093066096408,1.4779964037358184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,8,16.584977,0.033478,10.157905228408156,-0.8559614715871628,-1.9042851143290915,4.703650460414913,-1.4004407204061347,1.3970575861051855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,9,16.618453,0.033476,10.12739053081976,-0.9154409276519047,-1.7843836819422534,4.658436435283521,-1.3564207539417594,1.320598993931257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-18,pedestrian,4,1,10,16.651926,0.033473,10.095018040580584,-0.9711747071752685,-1.6720133857009185,4.614609492064273,-1.3148082965774626,1.248373720928904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
