scenario_id,selected,track_id,type,direction,scenario_tags,constraint_agents,start_time,end_time
1,s,18,Pedestrian,,single_no_interaction_on_walkway,19;20;21;22,0,13
2,s,18,Pedestrian,,single_no_interaction_on_crosswalk;minor_cut_entrance_corner;left_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,19;20;21;22,13,30
3,s,18,Pedestrian,,single_no_interaction_on_crosswalk;minor_cut_exit_corner,19;20;21;22,30,35
4,s,18,Pedestrian,,single_no_interaction_on_walkway,19;20;21;22,35,38.038
5,s,19,Pedestrian,,group_no_interaction_on_crosswalk;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,18;20;21;22,0,10
6,s,19,Pedestrian,,group_no_interaction_on_walkway,18;20;21;22,10,20.186833
7,s,20,Pedestrian,,group_no_interaction_on_crosswalk;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,18;19;21;22,0,10
8,s,20,Pedestrian,,group_no_interaction_on_walkway,18;19;21;22,10,20.5205
9,s,21,Pedestrian,,group_no_interaction_on_walkway,18;19;20;22,0.166833,13.847167
10,s,22,Pedestrian,,group_no_interaction_on_walkway,18;19;20;21,0.667333,12.345667
11,s,79,Pedestrian,,group_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,95;105;134;156;160;189,90,160
12,s,79,Pedestrian,,group_passes_oncoming_single_on_left_on_walkway,95;105;134;156;160;189,160,190.19
13,s,95,Pedestrian,,group_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,79;105;134;156;160;189,75.909167,160
14,s,95,Pedestrian,,group_passes_oncoming_single_on_left_on_walkway,79;105;134;156;160;189,160,187.854333
15,s,105,Pedestrian,,single_no_interaction_on_walkway,79;95;134;156;160,93.760333,113
16,s,105,Pedestrian,,single_no_interaction_on_crosswalk,79;95;134;156;160,113,119
17,s,105,Pedestrian,,single_no_interaction_on_crosswalk;left_turning_vehicle_intersects_pedestrian_path-pedestrian_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,79;95;134;156;160,119,135
18,s,105,Pedestrian,,single_overtakes_group_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,79;95;134;156;160,135,158
19,s,105,Pedestrian,,single_passes_oncoming_single_on_left_on_walkway,79;95;134;156;160,158,179.6795
20,s,134,Pedestrian,,single_no_interaction_on_walkway,79;95;105;156;160;189;204,121.6215,147
21,s,134,Pedestrian,,single_no_interaction_on_crosswalk,79;95;105;156;160;189;204,147,155
22,s,134,Pedestrian,,single_no_interaction_on_crosswalk,79;95;105;156;160;189;204,155,170
23,s,134,Pedestrian,,single_no_interaction_on_crosswalk;minor_cut_exit_corner,79;95;105;156;160;189;204,170,179
24,s,134,Pedestrian,,single_no_interaction_on_walkway,79;95;105;156;160;189;204,179,201.367833
25,s,156,Pedestrian,,single_passes_oncoming_single_on_left_on_walkway,79;95;105;134;160;189;204;209;211;212;248;249;250;254;270,137.804333,254
26,s,156,Pedestrian,,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_beginning_of_vehicle_turn,79;95;105;134;160;189;204;209;211;212;248;249;250;254;270,254,271
27,s,156,Pedestrian,,single_no_interaction_on_walkway,79;95;105;134;160;189;204;209;211;212;248;249;250;254;270,271,278.7785
28,s,160,Pedestrian,,single_passes_oncoming_group_on_left_on_walkway,79;95;105;134;156;189;204,146.813333,164
29,s,160,Pedestrian,,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn;left_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,79;95;105;134;156;189;204,164,181
30,s,160,Pedestrian,,single_passes_oncoming_single_on_right_on_walkway,79;95;105;134;156;189;204,181,201.367833
31,x,189,Pedestrian,,-,79;95;134;156;160,181.848333,193.193
32,s,204,Pedestrian,,single_passes_oncoming_single_on_right_on_walkway,134;156;160;209;211;212;248;249;250;254;270,195.361833,250
33,s,204,Pedestrian,,single_passes_oncoming_single_on_right_on_crosswalk,134;156;160;209;211;212;248;249;250;254;270,250,268
34,s,204,Pedestrian,,single_no_interaction_on_walkway,134;156;160;209;211;212;248;249;250;254;270,268,289.122167
35,s,209,Pedestrian,,single_no_interaction_on_walkway,156;204;211;212;248;249;250;254;270,201.534667,223
36,s,209,Pedestrian,,single_no_interaction_on_crosswalk,156;204;211;212;248;249;250;254;270,223,246
37,s,209,Pedestrian,,single_no_interaction_on_crosswalk,156;204;211;212;248;249;250;254;270,246,265
38,s,209,Pedestrian,,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,156;204;211;212;248;249;250;254;270,265,271
39,s,209,Pedestrian,,single_passes_oncoming_group_on_left_on_walkway,156;204;211;212;248;249;250;254;270,271,291.124167
40,s,211,Pedestrian,,group_no_interaction_on_walkway,156;204;209;212,203.036167,230.396833
41,x,212,Pedestrian,,-,156;204;209;211,203.7035,231.564667
42,s,248,Pedestrian,,group_passes_oncoming_single_on_left_on_walkway,156;204;209;249;250;254;270,258.258,283
43,s,248,Pedestrian,,group_no_interaction_on_crosswalk,156;204;209;249;250;254;270,283,290.29
44,s,249,Pedestrian,,group_passes_oncoming_single_on_left_on_walkway,156;204;209;248;250;254;270,258.258,283
45,s,249,Pedestrian,,group_no_interaction_on_crosswalk;minor_cut_entrance_corner,156;204;209;248;250;254;270,283,291.124167
46,s,250,Pedestrian,,group_passes_oncoming_single_on_left_on_walkway,156;204;209;248;249;254;270,258.258,283
47,s,250,Pedestrian,,group_no_interaction_on_crosswalk,156;204;209;248;249;254;270,283,291.124167
48,x,254,Pedestrian,,-,156;204;209;248;249;250,259.592667,270.27
49,x,270,Pedestrian,,-,156;204;209;248;249;250,274.7745,289.7895
