scenario_id,selected,track_id,type,direction,scenario_tags,constraint_agents,start_time,end_time
1,s,22,Pedestrian,,group_no_interaction_on_walkway,23;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,17
2,s,22,Pedestrian,,group_no_interaction_on_crosswalk,23;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,17,30
3,s,22,Pedestrian,,group_no_interaction_on_crosswalk,23;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,30,65
4,s,22,Pedestrian,,group_no_interaction_on_crosswalk,23;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,65,74
5,s,22,Pedestrian,,group_no_interaction_on_walkway,23;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,74,104.6045
6,s,23,Pedestrian,,group_no_interaction_on_crosswalk,22;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,8
7,s,23,Pedestrian,,group_no_interaction_on_crosswalk;major_cut_entrance_corner;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,22;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,8,33
8,s,23,Pedestrian,,group_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,22;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,33,62
9,s,23,Pedestrian,,group_passes_oncoming_single_on_right_on_walkway,22;24;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,62,91.758333
10,s,24,Pedestrian,,group_no_interaction_on_crosswalk,22;23;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,8
11,s,24,Pedestrian,,group_no_interaction_on_crosswalk;minor_cut_entrance_corner;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,22;23;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,8,33
12,s,24,Pedestrian,,group_passes_oncoming_single_on_right_on_crosswalk;minor_cut_entrance_corner;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,22;23;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,33,62
13,s,24,Pedestrian,,group_passes_oncoming_single_on_right_on_walkway,22;23;26;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,62,91.5915
14,s,26,Pedestrian,,group_no_interaction_on_walkway,22;23;24;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,15
15,s,26,Pedestrian,,group_no_interaction_on_crosswalk,22;23;24;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,15,30
16,s,26,Pedestrian,,group_no_interaction_on_crosswalk,22;23;24;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,30,67
17,s,26,Pedestrian,,group_no_interaction_on_crosswalk,22;23;24;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,67,75
18,s,26,Pedestrian,,group_no_interaction_on_walkway,22;23;24;27;28;29;30;31;32;33;39;67;74;75;86;97;98;127,75,106.773333
19,s,27,Pedestrian,,single_no_interaction_on_walkway,22;23;24;26;28;29;30;31;32;33;39;67;74;75;86;97;98;127,0,38
20,s,27,Pedestrian,,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;minor_cut_exit_corner,22;23;24;26;28;29;30;31;32;33;39;67;74;75;86;97;98;127,38,62
21,s,27,Pedestrian,,single_passes_oncoming_single_on_right_on_walkway,22;23;24;26;28;29;30;31;32;33;39;67;74;75;86;97;98;127,62,87.5875
22,s,28,Pedestrian,,single_no_interaction_roadway;jaywalk_across_road,22;23;24;26;27;29;30;31;32;33;39;67;74;75;86,0,43.877167
23,s,29,Pedestrian,,group_no_interaction_on_crosswalk;minor_cut_entrance_corner,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,0,8
24,s,29,Pedestrian,,group_no_interaction_on_crosswalk;major_cut_entrance_corner;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,8,33
25,s,29,Pedestrian,,group_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,33,62
26,s,29,Pedestrian,,group_passes_oncoming_single_on_right_on_walkway,22;23;24;26;27;28;30;31;32;33;39;67;74;75;86;97;98;127,62,92.759333
27,s,30,Pedestrian,,single_no_interaction_on_crosswalk,22;23;24;26;27;28;29;31;32;33;39;67;74;75,0,12
28,s,30,Pedestrian,,single_no_interaction_on_crosswalk;minor_cut_exit_corner,22;23;24;26;27;28;29;31;32;33;39;67;74;75,12,21
29,s,30,Pedestrian,,group_no_interaction_on_walkway,22;23;24;26;27;28;29;31;32;33;39;67;74;75,21,27.193833
30,s,31,Pedestrian,,single_no_interaction_on_crosswalk,22;23;24;26;27;28;29;30;32;33;39;67;74;75,0,16
31,s,31,Pedestrian,,single_no_interaction_on_crosswalk,22;23;24;26;27;28;29;30;32;33;39;67;74;75,16,24
32,s,31,Pedestrian,,group_no_interaction_on_walkway,22;23;24;26;27;28;29;30;32;33;39;67;74;75,24,28.194833
33,s,32,Pedestrian,,group_no_interaction_on_walkway,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,0,17
34,s,32,Pedestrian,,group_no_interaction_on_crosswalk,22;23;24;26;27;28;29;30;31;33;39;67;74;75;86;97;98;127,17,30
