scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,9,Pedestrian,,single_no_interaction_crosswalk,13;14,0,6
2,s,9,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_unsignalized_crosswalk;minor_cut_exit_corner,13;14,6,12
3,s,9,Pedestrian,,single_no_interaction_walkway,13;14,12,18.5185
4,x,13,Pedestrian,,-,9;14,0,4.170833
5,s,14,Pedestrian,,single_no_interaction_crosswalk,9;13,0,22
6,s,14,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_unsignalized_crosswalk;minor_cut_exit_corner,9;13,22,28
7,s,14,Pedestrian,,single_no_interaction_walkway,9;13,28,45.712333
8,s,81,Pedestrian,,single_no_interaction_walkway,112;167;168,72.405667,89
9,s,81,Pedestrian,,single_no_interaction_crosswalk;jaywalk_beside_crosswalk,112;167;168,89,105
10,s,81,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,112;167;168,105,130
11,s,81,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,112;167;168,130,159
12,s,81,Pedestrian,,single_no_interaction_walkway,112;167;168,159,183.349833
13,s,112,Pedestrian,,single_no_interaction_walkway,81;167;168,101.101,110
14,s,112,Pedestrian,,single_no_interaction_crosswalk,81;167;168,110,140
15,s,112,Pedestrian,,single_no_interaction_crosswalk,81;167;168,140,165
16,s,112,Pedestrian,,single_no_interaction_crosswalk,81;167;168,165,179.512667
17,s,167,Pedestrian,,group_no_interaction_walkway,81;112;168;189;191;196;247;250,161.995167,184
18,s,167,Pedestrian,,group_no_interaction_crosswalk;major_cut_entrance_corner,81;112;168;189;191;196;247;250,184,195
19,s,167,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,81;112;168;189;191;196;247;250,195,240
20,s,167,Pedestrian,,group_no_interaction_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway,81;112;168;189;191;196;247;250,240,261.928333
21,s,168,Pedestrian,,group_no_interaction_walkway,81;112;167;189;191;196;247;250,161.995167,184
22,s,168,Pedestrian,,group_no_interaction_crosswalk,81;112;167;189;191;196;247;250,184,195
23,s,168,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,81;112;167;189;191;196;247;250,195,240
24,s,168,Pedestrian,,group_no_interaction_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway,81;112;167;189;191;196;247;250,240,261.928333
25,x,189,Pedestrian,,-,167;168;191;196,194.6945,209.209
26,x,191,Pedestrian,,-,167;168;189;196,194.6945,208.374833
27,s,196,Pedestrian,,single_no_interaction_walkway,167;168;189;191;247;250,198.198,221
28,s,196,Pedestrian,,single_no_interaction_crosswalk;major_cut_entrance_corner;cross_in_front_of_yielding_left-turning_vehicle,167;168;189;191;247;250,221,240
29,s,196,Pedestrian,,single_no_interaction_crosswalk,167;168;189;191;247;250,240,255
30,s,196,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_unsignalized_crosswalk;minor_cut_exit_corner,167;168;189;191;247;250,255,261.928333
31,s,247,Pedestrian,,single_no_interaction_walkway,167;168;196;250,235.568667,261.928333
32,s,250,Pedestrian,,single_no_interaction_walkway,167;168;196;247,242.242,261.928333
