scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,26,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,28;40;41;61;79;90;93;94;107;114;141,0,35
2,s,26,Pedestrian,,group_no_interaction_crosswalk,28;40;41;61;79;90;93;94;107;114;141,35,76
3,s,26,Pedestrian,,group_no_interaction_crosswalk,28;40;41;61;79;90;93;94;107;114;141,76,84
4,s,26,Pedestrian,,group_no_interaction_walkway,28;40;41;61;79;90;93;94;107;114;141,84,112.278833
5,s,28,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,26;40;41;61;79;90;93;94;107;114;141,0,35
6,s,28,Pedestrian,,group_no_interaction_crosswalk;major_cut_exit_corner,26;40;41;61;79;90;93;94;107;114;141,35,76
7,s,28,Pedestrian,,group_no_interaction_crosswalk;minor_cut_entrance_corner;minor_cut_exit_corner,26;40;41;61;79;90;93;94;107;114;141,76,84
8,s,28,Pedestrian,,group_no_interaction_walkway,26;40;41;61;79;90;93;94;107;114;141,84,114.280833
9,s,40,Pedestrian,,group_no_interaction_walkway,26;28;41;61;79;90;93;94;107;114;141;149;150,12.5125,30
10,s,40,Pedestrian,,group_no_interaction_crosswalk,26;28;41;61;79;90;93;94;107;114;141;149;150,30,42
11,s,40,Pedestrian,,group_passes_single_crosswalk;pass_oncoming_on_left,26;28;41;61;79;90;93;94;107;114;141;149;150,42,85
12,s,40,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,26;28;41;61;79;90;93;94;107;114;141;149;150,85,124
13,s,40,Pedestrian,,group_no_interaction_walkway,26;28;41;61;79;90;93;94;107;114;141;149;150,124,131.798333
14,s,41,Pedestrian,,group_no_interaction_walkway,26;28;40;61;79;90;93;94;107;114;141;149;150,13.5135,30
15,s,41,Pedestrian,,group_no_interaction_crosswalk;minor_cut_entrance_corner,26;28;40;61;79;90;93;94;107;114;141;149;150,30,42
16,s,41,Pedestrian,,group_passes_single_crosswalk;pass_oncoming_on_left,26;28;40;61;79;90;93;94;107;114;141;149;150,42,85
17,s,41,Pedestrian,,group_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,26;28;40;61;79;90;93;94;107;114;141;149;150,85,124
18,s,41,Pedestrian,,group_no_interaction_walkway,26;28;40;61;79;90;93;94;107;114;141;149;150,124,131.965167
19,s,61,Pedestrian,,single_no_interaction_crosswalk;minor_cut_exit_corner,26;28;40;41;79;90;93;94;107;114,30.697333,43
20,s,61,Pedestrian,,single_passes_single_crosswalk;pass_oncoming_on_left;major_cut_exit_corner,26;28;40;41;79;90;93;94;107;114,43,80
21,s,61,Pedestrian,,single_passes_single_walkway;pass_oncoming_on_left,26;28;40;41;79;90;93;94;107;114,80,96.262833
22,s,79,Pedestrian,,single_no_interaction_walkway,26;28;40;41;61;90;93;94;107;114;141;149;150,47.714333,75
23,s,79,Pedestrian,,single_passes_group_crosswalk;pass_oncoming_on_right;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk;cross_in_front_of_yielding_left-turning_vehicle,26;28;40;41;61;90;93;94;107;114;141;149;150,75,100
24,s,79,Pedestrian,,group_no_interaction_crosswalk,26;28;40;41;61;90;93;94;107;114;141;149;150,100,119
25,s,79,Pedestrian,,single_no_interaction_crosswalk;jaywalk_beside_crosswalk,26;28;40;41;61;90;93;94;107;114;141;149;150,119,128
