scenario_id,selected,track_id,type,direction,scenario_tags,constraint_agents,start_time,end_time
1,x,16,Pedestrian,,-,17;18;19;22,0,7.841167
2,x,17,Pedestrian,,-,16;18;19;22;27;45;63;69;85;98;114;118;137,0,125.291833
3,s,18,Pedestrian,,single_no_interaction_on_walkway;minor_cut_exit_corner,16;17;19;22;27,0,10.844167
4,s,19,Pedestrian,,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_yields-pedestrian_in_conflict_lanes_crosses_conflict_lanes_first-signalized_crosswalk_at_end_of_vehicle_turn,16;17;18;22;27;45;63;69;85;98;114;118;137;169;172;180;184;203;205,0,211.544667
5,x,22,Pedestrian,,-,16;17;18;19;27,4.5045,14.5145
6,s,27,Pedestrian,,single_no_interaction_on_walkway,17;18;19;22;45;63;69;85;98;114;118,9.5095,37
7,s,27,Pedestrian,,single_passes_oncoming_single_on_right_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,17;18;19;22;45;63;69;85;98;114;118,37,62
8,s,27,Pedestrian,,single_no_interaction_on_crosswalk,17;18;19;22;45;63;69;85;98;114;118,62,94
9,s,27,Pedestrian,,single_no_interaction_on_crosswalk;minor_cut_exit_corner,17;18;19;22;45;63;69;85;98;114;118,94,103.436667
10,x,45,Pedestrian,,-,17;19;27;63,31.364667,51.384667
11,s,63,Pedestrian,,single_no_interaction_on_walkway,17;19;27;45;69;85;98;114;118;137,51.384667,81
12,s,63,Pedestrian,,single_no_interaction_on_crosswalk;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes-unsignalized_crosswalk,17;19;27;45;69;85;98;114;118;137,81,86
13,s,63,Pedestrian,,single_no_interaction_on_crosswalk;right_turning_vehicle_intersects_pedestrian_path-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn;right_turning_vehicle_yields-pedestrian_not_in_conflict_lanes_crosses_conflict_lanes_last-signalized_crosswalk_at_end_of_vehicle_turn,17;19;27;45;69;85;98;114;118;137,86,110
14,s,63,Pedestrian,,single_no_interaction_on_crosswalk,17;19;27;45;69;85;98;114;118;137,110,154
15,s,63,Pedestrian,,single_no_interaction_on_walkway,17;19;27;45;69;85;98;114;118;137,154,162.6625
16,x,69,Pedestrian,,-,17;19;27;63;85,55.388667,73.5735
17,x,85,Pedestrian,,-,17;19;27;63;69;98;114;118;137;169;172;180;184;203;205,72.238833,212.045167
18,x,98,Pedestrian,,-,17;19;27;63;85,86.920167,96.429667
19,s,114,Pedestrian,,single_no_interaction_on_walkway,17;19;27;63;85;118;137;169;172;180;184;203;205,100.1,121
20,s,114,Pedestrian,,single_no_interaction_on_crosswalk;major_cut_entrance_corner,17;19;27;63;85;118;137;169;172;180;184;203;205,121,133
21,s,114,Pedestrian,,single_no_interaction_on_crosswalk,17;19;27;63;85;118;137;169;172;180;184;203;205,133,158
