id,agent_type,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,yaw
-77,pedestrian,4,1,1,149.6495,0.0,-5.39840486660194,1.3001981648436702,-2.564576108335269,-16.686882977855277,0.8138814144708776,1.7015446332071287,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,2,149.683011,0.033511,-5.357737467309287,1.2200219787795936,-2.405285581922297,-16.657988221629786,0.8668426867647625,1.5888381688165463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,3,149.716467,0.033456,-5.319576619552001,1.1448254327185614,-2.255896381830969,-16.627445063321847,0.916294749238179,1.4835618742024936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,4,149.749966,0.033499,-5.283766655147801,1.0742989321260017,-2.1157950177767924,-16.595362760223807,0.9624690929411537,1.385230311089242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,5,149.78345299999998,0.033487,-5.250161585908129,1.0081520771901464,-1.9844056480756584,-16.561843358025722,1.0055820659425847,1.293389190042933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,6,149.816917,0.033464,-5.218624503130751,0.9461124833213295,-1.8611878160645077,-16.526982163108467,1.0458358475176848,1.207613447253002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,7,149.850415,0.033498,-5.189027014039338,0.8879246727424172,-1.74563431736737,-16.490868184379835,1.083419361859,1.1275054302394587,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,8,149.88385799999998,0.033443,-5.161248712938033,0.8333490330391623,-1.637269191097647,-16.453584546554726,1.118509134753295,1.0526931868288487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,9,149.917287,0.033429,-5.135176684979132,0.7821608387670397,-1.5356458281636787,-16.415208876670608,1.1512700965235128,0.982828853106535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,10,149.950775,0.033488,-5.110705040565019,0.7341493324233697,-1.4403451903101019,-16.375813665524742,1.1818563343759796,0.9175871355740055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,11,149.98422399999998,0.033449,-5.087734478521739,0.6891168612984135,-1.3509741337486827,-16.335466605619782,1.2104117971487764,0.8566638831839087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,12,150.017688,0.033464,-5.066171876291382,0.6468780669107027,-1.2671638316313265,-16.294230907109625,1.2370709553047048,0.7997747446778513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,13,150.05116199999998,0.033474,-5.045929905494158,0.607259123916725,-1.1885682898193315,-16.2521655931472,1.2619594188727323,0.7466539070408261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,14,150.084636,0.033474,-5.0269266713089245,0.5700970255569962,-1.1148629507918666,-16.209325775950852,1.285194515890493,0.6970529105328185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,15,150.11811,0.033474,-5.00908537421337,0.5352389128666328,-1.0457433807108985,-16.165762914825283,1.3068858337670364,0.6507395362963031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,16,150.15158399999999,0.033474,-4.992333992712164,0.5025414450361857,-0.9809240349134134,-16.121525057296722,1.327135725856802,0.6074967626929698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,17,150.185059,0.033475,-4.976604985763653,0.4718702084553309,-0.9201370974256438,-16.07665706445017,1.3460397853965946,0.5671217861937837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,18,150.21853399999998,0.033475,-4.961835013693188,0.4430991621139669,-0.8631313902409208,-16.03120082148878,1.3636872888416285,0.5294251033510126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,19,150.252008,0.033474,-4.947964676454183,0.4161101171701379,-0.809671348314869,-15.985195434471368,1.3801616105224097,0.4942296504234384,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,20,150.285482,0.033474,-4.934938268166915,0.39079224861804307,-0.7595360565628454,-15.938677414124045,1.3955406104196733,0.461369996917908,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-77,pedestrian,4,1,21,150.318956,0.033474,-4.922703546929821,0.36704163711283605,-0.7125183451562113,-15.89168084756525,1.4098969967639043,0.4306915903269303,0.0,0.0,0.0,0.0,0.0,0.0,0.0
