id,agent_type,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,yaw
78,pedestrian,1,2,1,107.941167,0.0,-10.381744805490598,-1.0390445649457392,0,-1.624012359417975,-0.9895518178628805,0,0.0,0.0,0.0,0.0,0.0,0.0,22.752154044644993
78,pedestrian,1,2,2,107.97458499999999,0.033418,-10.341666884851193,-1.0671291956842919,0,-1.6039811913444622,-0.9594467772088596,0,0.0,0.0,0.0,0.0,0.0,0.0,22.723461509272507
78,pedestrian,1,2,3,108.008074,0.033489,-10.291536216082426,-1.0944234572917455,0,-1.5839602120458394,-0.9284448505760705,0,0.0,0.0,0.0,0.0,0.0,0.0,22.6946789958125
78,pedestrian,1,2,4,108.041547,0.033473,-10.251409134445217,-1.125851446637058,0,-1.5738445231476699,-0.8902974635580992,0,0.0,0.0,0.0,0.0,0.0,0.0,22.66024039074866
78,pedestrian,1,2,5,108.07503399999999,0.033487,-10.211143912581615,-1.1511466131910109,0,-1.5537720009660163,-0.8575645139468492,0,0.0,0.0,0.0,0.0,0.0,0.0,22.63141976400611
78,pedestrian,1,2,6,108.10849599999999,0.033462,-10.161150206075567,-1.1800447393848026,0,-1.5337150598186777,-0.8175413710198856,0,0.0,0.0,0.0,0.0,0.0,0.0,22.5970295894691
78,pedestrian,1,2,7,108.141977,0.033481,-10.121013522948937,-1.203224769324772,0,-1.5136467165054164,-0.7832182362435758,0,0.0,0.0,0.0,0.0,0.0,0.0,22.56817905846598
78,pedestrian,1,2,8,108.17542999999999,0.033453,-10.08070036090742,-1.2295931084518519,0,-1.4935945814559948,-0.7413457710503735,0,0.0,0.0,0.0,0.0,0.0,0.0,22.533711974934153
78,pedestrian,1,2,9,108.20888099999999,0.033451,-10.03080855125454,-1.2544782561380081,0,-1.4735442309330566,-0.6985765856921027,0,0.0,0.0,0.0,0.0,0.0,0.0,22.499247963416927
78,pedestrian,1,2,10,108.242336,0.033455,-9.990442582096174,-1.277855340479869,0,-1.453491469044542,-0.6549554177205718,0,0.0,0.0,0.0,0.0,0.0,0.0,22.464779803932725
