id,agent_type,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,yaw
-130,pedestrian,4,1,1,162.829333,0.0,-6.232602740569599,1.4742619588058257,-2.6591525103638594,-15.672892699988127,0.6335897918361236,1.947915295138847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,2,162.86282799999998,0.033495,-6.18623314419945,1.39108789110448,-2.4952220310403725,-15.64975076987902,0.6942579032731969,1.8200433431121976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,3,162.89628399999998,0.033456,-6.142465110927045,1.3130409981721483,-2.341406787969951,-15.62471937157983,0.750941948975702,1.7005213710751523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,4,162.929746,0.033462,-6.101138282825045,1.2398048430599942,-2.1970846533646244,-15.597922628748172,0.8039022849497468,1.5888100792213435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,5,162.963222,0.033476,-6.06210220072878,1.1710824628879464,-2.061671405161433,-15.569476547829963,0.8533824275462935,1.4844042778963982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,6,162.996703,0.033481,-6.025215694698014,1.1065951809229582,-1.9346184589496458,-15.5394895438451,0.8996101195458657,1.3868307599871657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,7,163.030149,0.033446,-5.990346311701803,1.046081489886346,-1.8154107310983658,-15.508062932787038,0.9427983317418674,1.2956463658800537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,8,163.063618,0.033469,-5.957369778291361,0.9892960023132543,-1.703564627192751,-15.475291392663511,0.9831462037058044,1.2104361589181103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,9,163.097058,0.03344,-5.926169496156899,0.9360084640338494,-1.5986261483821465,-15.441263395096765,1.020839927002375,1.1308116988971149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,10,163.130542,0.033484,-5.896636068586738,0.8860028271048448,-1.5001691078701376,-15.406061609299062,1.0560535739310823,1.0564094078612256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,11,163.16398999999998,0.033448,-5.868666855964204,0.8390763786760423,-1.407793452864072,-15.369763280132394,1.0889498750000448,0.9868890320688737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,12,163.197454,0.033464,-5.842165558546854,0.7950389225204979,-1.3211236846663343,-15.332440581863734,1.1196809480598169,0.9219321917931643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,13,163.23092699999998,0.033473,-5.817041824875581,0.7537120101381772,-1.2398073714696214,-15.2941609491372,1.1483889817959974,0.8612410120854159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,14,163.26439,0.033463,-5.793210884259368,0.7149282184863861,-1.1635137495537327,-15.25498738659101,1.1752068763857344,0.8045368376921084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,15,163.297848,0.033458,-5.770593201873311,0.6785304715817317,-1.0919324071396315,-15.214978758466584,1.2002588437327633,0.7515590204108651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,16,163.331298,0.03345,-5.749114155093831,0.6443714033844007,-1.0247720459199308,-15.174190059470659,1.223660969877759,0.7020637843498687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,17,163.364777,0.033479,-5.728703729777154,0.6123127595003153,-0.9617593165225624,-15.132672668083684,1.2455217416092614,0.655823151945071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,18,163.39820899999998,0.033432,-5.709296235263801,0.5822248354005881,-0.9026377229918144,-15.090474583429394,1.265942539628688,0.6126239405828008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,19,163.431667,0.033458,-5.690830036966026,0.5539859489332505,-0.8471665940201275,-15.047640646750986,1.2850181003522028,0.5722668217054419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,20,163.46515499999998,0.033488,-5.6732473054612145,0.5274819451443469,-0.7951201136671074,-15.004212748482919,1.3028369480419983,0.5345654306938694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,21,163.498605,0.03345,-5.656493781081038,0.5026057314052791,-0.7462864121720336,-14.960230021839374,1.3194817993063659,0.49934553793102915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,22,163.532063,0.033458,-5.640518553046305,0.4792568410420142,-0.7004667108979468,-14.915729023780964,1.3350299417523348,0.46644427337906885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,23,163.56553599999998,0.033473,-5.625273852254119,0.4573410237655713,-0.6574745182932871,-14.870743904178507,1.349553588073718,0.4357093896414976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,24,163.598996,0.03346,-5.610714856878737,0.4367698612614705,-0.6171348751230241,-14.825306563931193,1.3631202074194435,0.406998580371765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-130,pedestrian,4,1,25,163.63241399999998,0.033418,-5.596799509997814,0.41746040642768556,-0.5792836450135489,-14.779446802752812,1.3757928353514044,0.3801788379588291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
