id,agent_type,type,sim_state,tick_count,sim_time,delta_time,x,x_vel,x_acc,y,y_vel,y_acc,s,s_vel,s_acc,d,d_vel,d_acc,yaw
142,pedestrian,1,2,1,184.017167,0.0,-5.9617448061471805,-0.9130142263860663,0,-16.004012359306216,-1.3208218906654665,0,0.0,0.0,0.0,0.0,0.0,0.0,85.78897066493816
142,pedestrian,1,2,2,184.050799,0.033632,-5.961744806030765,-0.9130107443106301,0,-15.95353404165705,-1.3206878924414125,0,0.0,0.0,0.0,0.0,0.0,0.0,85.78892498903876
142,pedestrian,1,2,3,184.084261,0.033462,-5.96163661530204,-0.9205202258843085,0,-15.893471404404808,-1.3153287089558456,0,0.0,0.0,0.0,0.0,0.0,0.0,85.78317909826626
142,pedestrian,1,2,4,184.117727,0.033466,-5.951744805905037,-0.9279993832076788,0,-15.843323033766417,-1.3099264929827947,0,0.0,0.0,0.0,0.0,0.0,0.0,85.77743251827077
142,pedestrian,1,2,5,184.15118,0.033453,-5.951580871465292,-0.9353379143467448,0,-15.793028751861467,-1.3045942520793146,0,0.0,0.0,0.0,0.0,0.0,0.0,85.77178193108425
142,pedestrian,1,2,6,184.184654,0.033474,-5.941744805080816,-0.9354353927369249,0,-15.733032348635875,-1.304420861887112,0,0.0,0.0,0.0,0.0,0.0,0.0,85.77166963018875
142,pedestrian,1,2,7,184.218128,0.033474,-5.941744805080816,-0.9428684932076044,0,-15.68287197654472,-1.2989547818340976,0,0.0,0.0,0.0,0.0,0.0,0.0,85.76592167493293
142,pedestrian,1,2,8,184.251602,0.033474,-5.941484368140094,-0.9500776909901086,0,-15.632449735638975,-1.2935890911050156,0,0.0,0.0,0.0,0.0,0.0,0.0,85.76032277518162
142,pedestrian,1,2,9,184.285065,0.033463,-5.931744805776728,-0.9502585962935269,0,-15.572566320109509,-1.2933861518648015,0,0.0,0.0,0.0,0.0,0.0,0.0,85.76015707126089
142,pedestrian,1,2,10,184.318526,0.033461,-5.931427417028931,-0.9576415543714398,0,-15.522425414943198,-1.2878608506886644,0,0.0,0.0,0.0,0.0,0.0,0.0,85.75441134675226
142,pedestrian,1,2,11,184.351992,0.033466,-5.921744805544026,-0.965009324934882,0,-15.47192826309672,-1.2823132067198661,0,0.0,0.0,0.0,0.0,0.0,0.0,85.74866460286022
142,pedestrian,1,2,12,184.385458,0.033466,-5.92174480600229,-0.9723290971603822,0,-15.41212726337414,-1.2767030074858494,0,0.0,0.0,0.0,0.0,0.0,0.0,85.74291802523207
142,pedestrian,1,2,13,184.418925,0.033467,-5.921337805082339,-0.9796335446825873,0,-15.361977353023315,-1.271072985058839,0,0.0,0.0,0.0,0.0,0.0,0.0,85.73717126890122
142,pedestrian,1,2,14,184.452388,0.033463,-5.911744806125997,-0.9866049056343161,0,-15.311396001394707,-1.2656692255757727,0,0.0,0.0,0.0,0.0,0.0,0.0,85.73167488542508
142,pedestrian,1,2,15,184.485855,0.033467,-5.911278777323034,-0.9869257634468028,0,-15.251682211831596,-1.2653838720994202,0,0.0,0.0,0.0,0.0,0.0,0.0,85.73140787029892
142,pedestrian,1,2,16,184.519324,0.033469,-5.901744805642984,-0.99417908736959,0,-15.201529291975637,-1.2596877520969394,0,0.0,0.0,0.0,0.0,0.0,0.0,85.72566076900151
142,pedestrian,1,2,17,184.552792,0.033468,-5.9017448059503375,-1.0013499536437254,0,-15.150849353453502,-1.253887978099376,0,0.0,0.0,0.0,0.0,0.0,0.0,85.71991368475918
