file_id,scenario_id,A,B,C,D,E,F,acceleration_time,aggressiveness_level_enter_xwalk,aggressiveness_level_select_xwalk,approaching_xwalk_threshold,desired_speed,dist_from_xwalk_exit,goal_threshold,mass,omega,phi,radius,speed_increase_pct,xwalk_entry_threshold,xwalk_exit_threshold
769,3,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.2952492877492872,8,0.5,55.98,240,120,0.25,1,1.5,1.5
769,4,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4750588388576196,8,0.5,60.77,240,120,0.25,1,1.5,1.5
769,6,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.517396224973253,1.5,0.5,71.94,240,120,0.25,0.5,1.5,1.5
769,7,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.43261432160804,1.5,0.5,60.41,240,120,0.25,0.5,1.5,1.5
769,8,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4419286883568656,1.5,0.5,75.42,240,120,0.25,0.5,1.5,1.5
769,9,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.7191275029446405,1.5,0.5,68.81,240,120,0.25,0.5,1.5,1.5
769,11,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.2958787850350355,1.5,0.5,68.07,240,120,0.25,0.5,1.5,1.5
769,12,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5065244252873558,1.5,0.5,78.71,240,120,0.25,0.5,1.5,1.5
769,13,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5030230449398432,1.5,0.5,51.07,240,120,0.25,0.5,1.5,1.5
769,14,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4523707516339888,0.0,0.5,52.5,240,120,0.25,0.0,1.5,1.5
769,15,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5383175853018378,1.5,0.5,68.93,240,120,0.25,0.5,1.5,1.5
769,19,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3603147705121388,1.5,0.5,71.3,240,120,0.25,0.5,1.5,1.5
769,20,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3545321367521366,1.5,0.5,77.91,240,120,0.25,0.5,1.5,1.5
769,21,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.336397329302092,1.5,0.5,65.67,240,120,0.25,0.5,1.5,1.5
769,22,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3801932444444438,1.5,0.5,56.42,240,120,0.25,0.5,1.5,1.5
769,23,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4376255321413347,1.5,0.5,66.27,240,120,0.25,0.5,1.5,1.5
769,27,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4870951765719216,1.5,0.5,64.67,240,120,0.25,0.5,1.5,1.5
769,28,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.651179076479076,1.5,0.5,52.2,240,120,0.25,0.5,1.5,1.5
769,29,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.565615925925925,1.5,0.5,74.58,240,120,0.25,0.5,1.5,1.5
769,30,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.585233643744031,1.5,0.5,67.77,240,120,0.25,0.5,1.5,1.5
769,31,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4984090327737791,1.5,0.5,65.5,240,120,0.25,0.5,1.5,1.5
769,32,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.525650556531928,1.5,0.5,56.39,240,120,0.25,0.5,1.5,1.5
769,33,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6616584876543206,1.5,0.5,60.67,240,120,0.25,0.5,1.5,1.5
769,34,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.732823596792669,1.5,0.5,56.64,240,120,0.25,0.5,1.5,1.5
769,35,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.438012007168459,1.5,0.5,51.12,240,120,0.25,0.5,1.5,1.5
769,36,10,0.8,12,0.35,400,0.82,0.5,2,2,25,1.6483342864923745,3,0.5,53.62,240,120,0.25,0.75,24.7,1.5
769,37,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.5057268069039924,18,0.5,61.82,240,120,0.25,1.5,3,6.5
769,38,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.6051837606837607,1.5,0.5,74.08,240,120,0.25,0.5,1.5,1.5
769,40,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3717525050100214,1.5,0.5,59.7,240,120,0.25,0.5,1.5,1.5
769,41,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3430206149545771,1.5,0.5,62.46,240,120,0.25,0.5,1.5,1.5
769,42,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3578519576719577,1.5,0.5,68.43,240,120,0.25,0.5,1.5,1.5
769,43,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3706475865851748,1.5,0.5,62.43,240,120,0.25,0.5,1.5,1.5
769,44,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.340560437006044,1.5,0.5,70.07,240,120,0.25,0.5,1.5,1.5
769,45,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.3013114169215092,1.5,0.5,66.11,240,120,0.25,0.5,1.5,1.5
769,46,10,0.8,12,0.35,400,0.82,0.5,2,2,5,1.4115680076628352,1.5,0.5,75.97,240,120,0.25,0.5,1.5,1.5
